Title_en,OctetNo,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",10,Parameter category,(see Code table 4.1),,4.1,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",11,Parameter number,(see Code table 4.2),,4.2,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",12-13,Input process identifier,(see Note 1),82,,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",14-15,Input originating centre,(see Note 2 and Common Code table C-11),81,CCT-11,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",16,Type of post-processing,(see Note 3),126,,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",17,Type of generating process,(see Code table 4.3),,4.3,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",18,Background generating process identifier (defined by originating centre),,,,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",19,Analysis or forecast generating process identifier (defined by originating centre),,,,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",20,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",21,Scale factor of first fixed surface,,,,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",22-25,Scaled value of first fixed surface,,,,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",26,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",27,Scale factor of second fixed surface,,,,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",28-31,Scaled value of second fixed surface,,,,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",32,Method used to derive the data field values at the local time specified in section 1,(see Code table 4.248),,4.248,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",33,n - number of analyses or forecasts used to create the composite data field at the local time specified in section 1 (n >= 1),,,,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",,Octets 34-51 Specification of the analysis or forecast used in the processing (n = 1),,,,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",34-35,Year of the analysis or forecast used in the processing,,,,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",36,Month of the analysis or forecast used in the processing,,,,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",37,Day of the analysis or forecast used in the processing,,,,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",38,Hour of the analysis or forecast used in the processing,,,,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",39,Minute of the analysis or forecast used in the processing,,,,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",40,Second of the analysis or forecast used in the processing,,,,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",41,Indicator of units of forecast time,(see Note 5 and Code table 4.4),70,4.4,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",42-45,Forecast time,(see Notes 4 and 5),"155,70",,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",46,Number of time increments of the forecast used in the processing,,,,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",47,Indicator of units of time for the time increments,(see Code table 4.4),,4.4,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",48-51,Time increments between successive forecast time,,,,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",,Octets 52-nn are included only if n > 1 where nn = 33 + 18 x n,,,,,Operational
"Post-processing analysis or forecast at a horizontal level or in a horizontal layer at a specified local time",52-nn,(n-1) repetitions of sequence of octet 34-51 describing the next analyses or forecasts used in the processing,,,,,Operational
