Title_en,OctetNo,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Average, accumulation, extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for generic optical products",10,Parameter category,(see Code table 4.1),4.1,,,Operational
"Average, accumulation, extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for generic optical products",11,Parameter number,(see Code table 4.2),4.2,,,Operational
"Average, accumulation, extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for generic optical products",12,Type of interval (for wavelength),(see Code table 4.91),,4.91,,Operational
"Average, accumulation, extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for generic optical products",13,Scale factor of first wavelength,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for generic optical products",14-17,Scaled value of first wavelength,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for generic optical products",18,Scale factor of second wavelength,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for generic optical products",19-22,Scaled value of second wavelength,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for generic optical products",23,Type of generating process,(see Code table 4.3),,4.3,,Operational
"Average, accumulation, extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for generic optical products",24,Background generating process identifier (defined by originating centre),,,,,Operational
"Average, accumulation, extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for generic optical products",25,Forecast generating process identifier (defined by originating centre),,,,,Operational
"Average, accumulation, extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for generic optical products",26-27,Hours after reference time of data cut-off,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for generic optical products",28,Minutes after reference time of data cut-off,,,,,Operational
"Average, accumulation, extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for generic optical products",29,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
