Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,10,1,Parameter category,(see Code table 4.1),,4.1,,Operational
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,11,1,Parameter number,(see Code table 4.2),,4.2,,Operational
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,12-13,2,Input process identifier,(see Note 1),82,,,Operational
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,14-15,2,Input originating centre,(see Common Code table C-11 and Note 2),81,CCT-11,,Operational
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,16,1,Type of post-processing,(see Note 3),126,,,Operational
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,17,1,Type of generating process,(see Code table 4.3),,4.3,,Operational
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,18,1,Background generating process identifier (defined by originating centre),,,,,Operational
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,19,1,Forecast generating process identifier (defined by originating centre),,,,,Operational
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,20-21,2,Hours after reference time of data cut-off,(see Note 4),33,,,Operational
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,22,1,Minutes after reference time of data cut-off,,,,,Operational
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,23,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,24-27,4,Forecast time in units defined by octet 23,(see Note 5),111,,,Operational
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,28,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,29,1,Scale factor of first fixed surface,,,,,Operational
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,30-33,4,Scaled value of first fixed surface,,,,,Operational
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,34,1,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,35,1,Scale factor of second fixed surface,,,,,Operational
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,36-39,4,Scaled value of second fixed surface,,,,,Operational
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,40-41,2,Total number of quantiles (q),,,,,Operational
Post-processed quantile forecasts at a horizontal level or in a horizontal layer at a point in time,42-43,2,Quantile value (between 0 and q),,,,,Operational
