Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",10,1,Parameter category,(see Code table 4.1),,4.1,,Experimental
"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",11,1,Parameter number,(see Code table 4.2),,4.2,,Experimental
"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",12,1,Type of generating process,(see Code table 4.3),,4.3,,Experimental
"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",13,1,Background generating process identifier (defined by originating centre),,,,,Experimental
"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",14,1,Analysis or forecast generating process identifier (defined by originating centre),,,,,Experimental
"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",15-16,2,Hours of observational data cut-off after reference time,(see Note 2),33,,,Experimental
"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",17,1,Minutes of observational data cut-off after reference time,,,,,Experimental
"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",18,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Experimental
"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",19-22,4,Forecast time in units defined by octet 18,,,,,Experimental
"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",23,1,Horizontal dimension processed,(see Code table 4.220),,4.220,,Experimental
"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",24,1,Treatment of missing data (e.g. below ground),(see Code table 4.221),,4.221,,Experimental
"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",25,1,Type of statistical processing,(see Code table 4.10),,4.10,,Experimental
"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",26-29,4,Start of range,,,,,Experimental
"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",30-33,4,End of range,,,,,Experimental
"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",34-35,2,Number of values,,,,,Experimental
